,Entry,Mass,Feature,Feature.1,feature,Feature.2
3043,P20591,"75,520",P20591,P20591,P20591,P20591
3044,P10244,"78,764",P10244,P10244,P10244,P10244
3045,Q92968,"44,130",Q92968,Q92968,Q92968,Q92968
3046,O75381,"41,237",O75381,O75381,O75381,O75381
3047,Q9Y5Y5,"38,629",Q9Y5Y5,Q9Y5Y5,Q9Y5Y5,Q9Y5Y5
3048,P43490,"55,521",P43490,P43490,P43490,P43490
3049,Q8N7R0,"26,880",Q8N7R0,Q8N7R0,Q8N7R0,Q8N7R0
3050,Q7Z5D8,"22,750",Q7Z5D8,Q7Z5D8,Q7Z5D8,Q7Z5D8
3051,Q15080,"39,032",Q15080,Q15080,Q15080,Q15080
3052,A6PVI3,"17,685",A6PVI3,A6PVI3,A6PVI3,A6PVI3
3053,Q9HD90,"37,041",Q9HD90,Q9HD90,Q9HD90,Q9HD90
3054,Q9NXR1,"37,721",Q9NXR1,Q9NXR1,Q9NXR1,Q9NXR1
3055,P55160,"128,153",P55160,P55160,P55160,P55160
3056,Q6P474,"51,810",Q6P474,Q6P474,Q6P474,Q6P474
3057,P50539,"26,062",P50539,P50539,P50539,P50539
3058,Q8TBZ2,"108,153",Q8TBZ2,Q8TBZ2,Q8TBZ2,Q8TBZ2
3059,P02144,"17,184",P02144,P02144,P02144,P02144
3060,Q96EZ4,"33,556",Q96EZ4,Q96EZ4,Q96EZ4,Q96EZ4
3061,Q02045,"19,534",Q02045,Q02045,Q02045,Q02045
3062,O00159,"121,682",O00159,O00159,O00159,O00159
3063,Q9UKX2,"223,044",Q9UKX2,Q9UKX2,Q9UKX2,Q9UKX2
3064,Q12965,"127,062",Q12965,Q12965,Q12965,Q12965
3065,B0I1T2,"116,442",B0I1T2,B0I1T2,B0I1T2,B0I1T2
3066,Q13459,"243,401",Q13459,Q13459,Q13459,Q13459
3067,P60201,"30,077",P60201,P60201,P60201,P60201
3068,Q9UM54,"149,691",Q9UM54,Q9UM54,Q9UM54,Q9UM54
3069,Q9UBB6,"78,864",Q9UBB6,Q9UBB6,Q9UBB6,Q9UBB6
3070,O95944,"30,677",O95944,O95944,O95944,O95944
3071,P40205,"11,733",P40205,P40205,P40205,P40205
3072,Q9HCD5,"65,536",Q9HCD5,Q9HCD5,Q9HCD5,Q9HCD5
3073,Q14686,"219,145",Q14686,Q14686,Q14686,Q14686
3074,O14777,"73,913",O14777,O14777,O14777,O14777
3075,O60721,"121,374",O60721,O60721,O60721,O60721
3076,P10243,"85,887",P10243,P10243,P10243,P10243
3077,Q9BRK3,"49,132",Q9BRK3,Q9BRK3,Q9BRK3,Q9BRK3
3078,P53602,"43,405",P53602,P53602,P53602,P53602
3079,Q9UKX3,"223,605",Q9UKX3,Q9UKX3,Q9UKX3,Q9UKX3
3080,P13349,"28,296",P13349,P13349,P13349,P13349
3081,Q9H1R3,"64,685",Q9H1R3,Q9H1R3,Q9H1R3,Q9H1R3
3082,Q6IA69,"79,285",Q6IA69,Q6IA69,Q6IA69,Q6IA69
3083,Q9UK23,"56,073",Q9UK23,Q9UK23,Q9UK23,Q9UK23
3084,Q96MN2,"113,415",Q96MN2,Q96MN2,Q96MN2,Q96MN2
3085,P59047,"134,342",P59047,P59047,P59047,P59047
3086,Q9H9S0,"34,620",Q9H9S0,Q9H9S0,Q9H9S0,Q9H9S0
3087,P41271,"19,408",P41271,P41271,P41271,P41271
3088,Q15596,"159,157",Q15596,Q15596,Q15596,Q15596
3089,Q6MZP7,"79,494",Q6MZP7,Q6MZP7,Q6MZP7,Q6MZP7
3090,O14910,"25,997",O14910,O14910,O14910,O14910
3091,Q5TKA1,"61,946",Q5TKA1,Q5TKA1,Q5TKA1,Q5TKA1
3092,Q9UPQ0,"121,867",Q9UPQ0,Q9UPQ0,Q9UPQ0,Q9UPQ0
3093,Q9UGP4,"72,190",Q9UGP4,Q9UGP4,Q9UGP4,Q9UGP4
3094,Q8N6C8,"47,472",Q8N6C8,Q8N6C8,Q8N6C8,Q8N6C8
3095,P54315,"51,848",P54315,P54315,P54315,P54315
3096,Q8NHL6,"70,819",Q8NHL6,Q8NHL6,Q8NHL6,Q8NHL6
3097,Q8N423,"65,039",Q8N423,Q8N423,Q8N423,Q8N423
3098,O75023,"64,126",O75023,O75023,O75023,O75023
3099,Q6P5Q4,"61,675",Q6P5Q4,Q6P5Q4,Q6P5Q4,Q6P5Q4
3100,Q9HAT1,"57,129",Q9HAT1,Q9HAT1,Q9HAT1,Q9HAT1
3101,Q08AG7,"8,479",Q08AG7,Q08AG7,Q08AG7,Q08AG7
3102,P09848,"218,587",P09848,P09848,P09848,P09848
3103,Q6N069,"101,462",Q6N069,Q6N069,Q6N069,Q6N069
3104,Q147X3,"39,320",Q147X3,Q147X3,Q147X3,Q147X3
3105,Q93015,"31,445",Q93015,Q93015,Q93015,Q93015
3106,Q02083,"40,066",Q02083,Q02083,Q02083,Q02083
3107,P07900,"84,660",P07900,P07900,P07900,P07900
3108,Q96MM6,"75,688",Q96MM6,Q96MM6,Q96MM6,Q96MM6
3109,Q9Y5N1,"48,671",Q9Y5N1,Q9Y5N1,Q9Y5N1,Q9Y5N1
3110,Q8N485,"31,891",Q8N485,Q8N485,Q8N485,Q8N485
3111,P0DMV9,"70,052",P0DMV9,P0DMV9,P0DMV9,P0DMV9
3112,O95757,"94,512",O95757,O95757,O95757,O95757
3113,O75506,"8,544",O75506,O75506,O75506,O75506
3114,P04792,"22,783",P04792,P04792,P04792,P04792
3115,Q9BQS6,"17,486",Q9BQS6,Q9BQS6,Q9BQS6,Q9BQS6
3116,Q00056,"34,499",Q00056,Q00056,Q00056,Q00056
3117,P60568,"17,628",P60568,P60568,P60568,P60568
3118,Q9NPF7,"20,730",Q9NPF7,Q9NPF7,Q9NPF7,Q9NPF7
3119,P08887,"51,548",P08887,P08887,P08887,P08887
3120,Q14116,"22,326",Q14116,Q14116,Q14116,Q14116
3121,Q8NEV9,"27,493",Q8NEV9,Q8NEV9,Q8NEV9,Q8NEV9
3122,P01589,"30,819",P01589,P01589,P01589,P01589
3123,Q01638,"63,358",Q01638,Q01638,Q01638,Q01638
3124,Q12905,"43,062",Q12905,Q12905,Q12905,Q12905
3125,A1L0T0,"67,868",A1L0T0,A1L0T0,A1L0T0,A1L0T0
3126,Q9H2S9,"64,106",Q9H2S9,Q9H2S9,Q9H2S9,Q9H2S9
3127,P13232,"20,187",P13232,P13232,P13232,P13232
3128,Q13418,"51,419",Q13418,Q13418,Q13418,Q13418
3129,P07948,"58,574",P07948,P07948,P07948,P07948
3130,P28300,"46,944",P28300,P28300,P28300,P28300
3131,O75608,"24,670",O75608,O75608,O75608,O75608
3132,O95372,"24,737",O95372,O95372,O95372,O95372
3133,Q8N2G4,"15,240",Q8N2G4,Q8N2G4,Q8N2G4,Q8N2G4
3134,O95274,"35,971",O95274,O95274,O95274,O95274
3135,Q6UWN0,"26,763",Q6UWN0,Q6UWN0,Q6UWN0,Q6UWN0
3136,Q6UWN5,"26,936",Q6UWN5,Q6UWN5,Q6UWN5,Q6UWN5
3137,Q86Y78,"19,118",Q86Y78,Q86Y78,Q86Y78,Q86Y78
3138,Q6UX82,"25,265",Q6UX82,Q6UX82,Q6UX82,Q6UX82
3139,Q5VWZ2,"26,316",Q5VWZ2,Q5VWZ2,Q5VWZ2,Q5VWZ2
3140,Q86UE4,"63,837",Q86UE4,Q86UE4,Q86UE4,Q86UE4
3141,O43325,"14,282",O43325,O43325,O43325,O43325
3142,Q9NU23,"10,449",Q9NU23,Q9NU23,Q9NU23,Q9NU23
3143,Q9HD34,"10,758",Q9HD34,Q9HD34,Q9HD34,Q9HD34
3144,Q5U5X0,"11,955",Q5U5X0,Q5U5X0,Q5U5X0,Q5U5X0
3145,A8MSI8,"9,374",A8MSI8,A8MSI8,A8MSI8,A8MSI8
3146,P61626,"16,537",P61626,P61626,P61626,P61626
3147,Q96S90,"25,003",Q96S90,Q96S90,Q96S90,Q96S90
3148,Q8IV50,"23,463",Q8IV50,Q8IV50,Q8IV50,Q8IV50
3149,Q96KX0,"16,433",Q96KX0,Q96KX0,Q96KX0,Q96KX0
3150,Q8WZA0,"21,495",Q8WZA0,Q8WZA0,Q8WZA0,Q8WZA0
3151,Q9Y250,"66,613",Q9Y250,Q9Y250,Q9Y250,Q9Y250
3152,Q14623,"45,251",Q14623,Q14623,Q14623,Q14623
3153,Q9HBE5,"59,130",Q9HBE5,Q9HBE5,Q9HBE5,Q9HBE5
3154,P01584,"30,748",P01584,P01584,P01584,P01584
3155,Q01113,"57,147",Q01113,Q01113,Q01113,Q01113
3156,Q6EBC2,"18,205",Q6EBC2,Q6EBC2,Q6EBC2,Q6EBC2
3157,A6NDP7,"32,967",A6NDP7,A6NDP7,A6NDP7,A6NDP7
3158,Q9NSB8,"40,627",Q9NSB8,Q9NSB8,Q9NSB8,Q9NSB8
3159,Q9H3N8,"44,496",Q9H3N8,Q9H3N8,Q9H3N8,Q9H3N8
3160,Q7LGA3,"41,881",Q7LGA3,Q7LGA3,Q7LGA3,Q7LGA3
3161,Q8TD35,"21,508",Q8TD35,Q8TD35,Q8TD35,Q8TD35
3162,P08238,"83,264",P08238,P08238,P08238,P08238
3163,Q96LI6,"45,107",Q96LI6,Q96LI6,Q96LI6,Q96LI6
3164,Q96JZ2,"39,002",Q96JZ2,Q96JZ2,Q96JZ2,Q96JZ2
3165,Q6YN16,"45,395",Q6YN16,Q6YN16,Q6YN16,Q6YN16
3166,P11142,"70,898",P11142,P11142,P11142,P11142
3167,P83110,"48,608",P83110,P83110,P83110,P83110
3168,P83105,"50,979",P83105,P83105,P83105,P83105
3169,P57058,"79,686",P57058,P57058,P57058,P57058
3170,P31260,"42,414",P31260,P31260,P31260,P31260
3171,A0A0C4DH34,"13,124",A0A0C4DH34,A0A0C4DH34,A0A0C4DH34,A0A0C4DH34
3172,P0DP07,"13,095",P0DP07,P0DP07,P0DP07,P0DP07
3173,A0A0B4J2H0,"12,660",A0A0B4J2H0,A0A0B4J2H0,A0A0B4J2H0,A0A0B4J2H0
3174,P23083,"13,085",P23083,P23083,P23083,P23083
3175,P01780,"12,943",P01780,P01780,P01780,P01780
3176,A0A0B4J1V0,"12,926",A0A0B4J1V0,A0A0B4J1V0,A0A0B4J1V0,A0A0B4J1V0
3177,Q14005,"141,752",Q14005,Q14005,Q14005,Q14005
3178,Q9P0M4,"21,765",Q9P0M4,Q9P0M4,Q9P0M4,Q9P0M4
3179,Q8NI17,"82,954",Q8NI17,Q8NI17,Q8NI17,Q8NI17
3180,P05112,"17,492",P05112,P05112,P05112,P05112
3181,Q9NPH9,"19,843",Q9NPH9,Q9NPH9,Q9NPH9,Q9NPH9
3182,O00221,"52,864",O00221,O00221,O00221,O00221
3183,Q86SU0,"62,815",Q86SU0,Q86SU0,Q86SU0,Q86SU0
3184,P27930,"45,421",P27930,P27930,P27930,P27930
3185,A1Z1Q3,"47,421",A1Z1Q3,A1Z1Q3,A1Z1Q3,A1Z1Q3
3186,Q96S86,"40,894",Q96S86,Q96S86,Q96S86,Q96S86
3187,Q9HDD0,"18,750",Q9HDD0,Q9HDD0,Q9HDD0,Q9HDD0
3188,O43301,"74,978",O43301,O43301,O43301,O43301
3189,A0A0A0MS15,"13,056",A0A0A0MS15,A0A0A0MS15,A0A0A0MS15,A0A0A0MS15
3190,A0A0C4DH41,"13,066",A0A0C4DH41,A0A0C4DH41,A0A0C4DH41,A0A0C4DH41
3191,A0A0J9YXX1,"12,773",A0A0J9YXX1,A0A0J9YXX1,A0A0J9YXX1,A0A0J9YXX1
3192,A0A0J9YX35,"12,823",A0A0J9YX35,A0A0J9YX35,A0A0J9YX35,A0A0J9YX35
3193,P29459,"24,874",P29459,P29459,P29459,P29459
3194,Q9UHF5,"20,437",Q9UHF5,Q9UHF5,Q9UHF5,Q9UHF5
3195,P29460,"37,169",P29460,P29460,P29460,P29460
3196,Q8NI38,"33,481",Q8NI38,Q8NI38,Q8NI38,Q8NI38
3197,Q9UHD0,"20,452",Q9UHD0,Q9UHD0,Q9UHD0,Q9UHD0
3198,Q01344,"47,685",Q01344,Q01344,Q01344,Q01344
3199,Q8WWZ1,"16,943",Q8WWZ1,Q8WWZ1,Q8WWZ1,Q8WWZ1
3200,Q13422,"57,528",Q13422,Q13422,Q13422,Q13422
3201,Q9BW11,"23,477",Q9BW11,Q9BW11,Q9BW11,Q9BW11
3202,Q8WXG6,"183,303",Q8WXG6,Q8WXG6,Q8WXG6,Q8WXG6
3203,Q96JY0,"49,219",Q96JY0,Q96JY0,Q96JY0,Q96JY0
3204,Q6DN12,"99,596",Q6DN12,Q6DN12,Q6DN12,Q6DN12
3205,Q9ULC4,"20,555",Q9ULC4,Q9ULC4,Q9ULC4,Q9ULC4
3206,Q96AQ8,"39,694",Q96AQ8,Q96AQ8,Q96AQ8,Q96AQ8
3207,Q2M1V0,"27,011",Q2M1V0,Q2M1V0,Q2M1V0,Q2M1V0
3208,Q86YW9,"240,120",Q86YW9,Q86YW9,Q86YW9,Q86YW9
3209,Q16534,"33,199",Q16534,Q16534,Q16534,Q16534
3210,Q8TCT9,"41,488",Q8TCT9,Q8TCT9,Q8TCT9,Q8TCT9
3211,Q96FZ2,"40,575",Q96FZ2,Q96FZ2,Q96FZ2,Q96FZ2
3212,P54868,"56,635",P54868,P54868,P54868,P54868
3213,Q12766,"168,334",Q12766,Q12766,Q12766,Q12766
3214,Q86YM7,"40,277",Q86YM7,Q86YM7,Q86YM7,Q86YM7
3215,Q9NSC5,"39,836",Q9NSC5,Q9NSC5,Q9NSC5,Q9NSC5
3216,Q5SSJ5,"61,207",Q5SSJ5,Q5SSJ5,Q5SSJ5,Q5SSJ5
3217,Q9NWW0,"15,291",Q9NWW0,Q9NWW0,Q9NWW0,Q9NWW0
3218,Q9P2W1,"24,906",Q9P2W1,Q9P2W1,Q9P2W1,Q9P2W1
3219,P32754,"44,934",P32754,P32754,P32754,P32754
3220,Q86W92,"114,024",Q86W92,Q86W92,Q86W92,Q86W92
3221,Q00613,"57,260",Q00613,Q00613,Q00613,Q00613
3222,P01772,"13,074",P01772,P01772,P01772,P01772
3223,A0A0B4J1Y9,"13,203",A0A0B4J1Y9,A0A0B4J1Y9,A0A0B4J1Y9,A0A0B4J1Y9
3224,A0A0B4J1V6,"12,858",A0A0B4J1V6,A0A0B4J1V6,A0A0B4J1V6,A0A0B4J1V6
3225,P31271,"39,727",P31271,P31271,P31271,P31271
3226,P0DP04,"13,017",P0DP04,P0DP04,P0DP04,P0DP04
3227,P49639,"36,641",P49639,P49639,P49639,P49639
3228,O43364,"41,002",O43364,O43364,O43364,O43364
3229,Q96D96,"31,683",Q96D96,Q96D96,Q96D96,Q96D96
3230,P01817,"13,231",P01817,P01817,P01817,P01817
3231,P31267,"26,339",P31267,P31267,P31267,P31267
3232,P17483,"27,604",P17483,P17483,P17483,P17483
3233,P17509,"25,432",P17509,P17509,P17509,P17509
3234,Q96FE5,"69,876",Q96FE5,Q96FE5,Q96FE5,Q96FE5
3235,P09429,"24,894",P09429,P09429,P09429,P09429
3236,P09601,"32,819",P09601,P09601,P09601,P09601
3237,A2RU54,"29,598",A2RU54,A2RU54,A2RU54,A2RU54
3238,Q00839,"90,584",Q00839,Q00839,Q00839,Q00839
3239,Q9UBC0,"51,023",Q9UBC0,Q9UBC0,Q9UBC0,Q9UBC0
3240,Q14103,"38,434",Q14103,Q14103,Q14103,Q14103
3241,P52597,"45,672",P52597,P52597,P52597,P52597
3242,P61978,"50,976",P61978,P61978,P61978,P61978
3243,Q86X24,"45,200",Q86X24,Q86X24,Q86X24,Q86X24
3244,Q8N7B1,"35,284",Q8N7B1,Q8N7B1,Q8N7B1,Q8N7B1
3245,Q96IR7,"39,386",Q96IR7,Q96IR7,Q96IR7,Q96IR7
3246,P00492,"24,579",P00492,P00492,P00492,P00492
3247,Q9NWW9,"17,394",Q9NWW9,Q9NWW9,Q9NWW9,Q9NWW9
3248,Q8IVB5,"36,563",Q8IVB5,Q8IVB5,Q8IVB5,Q8IVB5
3249,P34931,"70,375",P34931,P34931,P34931,P34931
3250,O75031,"37,645",O75031,O75031,O75031,O75031
3251,Q9ULV5,"53,011",Q9ULV5,Q9ULV5,Q9ULV5,Q9ULV5
3252,Q58FG0,"38,738",Q58FG0,Q58FG0,Q58FG0,Q58FG0
3253,P35367,"55,784",P35367,P35367,P35367,P35367
3254,Q9Y662,"43,324",Q9Y662,Q9Y662,Q9Y662,Q9Y662
3255,P0DMV8,"70,052",P0DMV8,P0DMV8,P0DMV8,P0DMV8
3256,Q9UBD0,"46,742",Q9UBD0,Q9UBD0,Q9UBD0,Q9UBD0
3257,P48723,"51,927",P48723,P48723,P48723,P48723
3258,P48741,"40,244",P48741,P48741,P48741,P48741
3259,Q16082,"20,233",Q16082,Q16082,Q16082,Q16082
3260,Q9UJY1,"21,604",Q9UJY1,Q9UJY1,Q9UJY1,Q9UJY1
3261,Q0VDF9,"54,794",Q0VDF9,Q0VDF9,Q0VDF9,Q0VDF9
3262,Q9P2D3,"224,302",Q9P2D3,Q9P2D3,Q9P2D3,Q9P2D3
3263,O43464,"48,841",O43464,O43464,O43464,O43464
3264,P31270,"34,486",P31270,P31270,P31270,P31270
3265,A0A0C4DH29,"13,008",A0A0C4DH29,A0A0C4DH29,A0A0C4DH29,A0A0C4DH29
3266,A0A0A0MS14,"13,508",A0A0A0MS14,A0A0A0MS14,A0A0A0MS14,A0A0A0MS14
3267,P01742,"12,659",P01742,P01742,P01742,P01742
3268,P01762,"12,909",P01762,P01762,P01762,P01762
3269,A0A0C4DH32,"12,673",A0A0C4DH32,A0A0C4DH32,A0A0C4DH32,A0A0C4DH32
3270,P31269,"30,172",P31269,P31269,P31269,P31269
3271,P09067,"29,434",P09067,P09067,P09067,P09067
3272,Q9NYY1,"20,072",Q9NYY1,Q9NYY1,Q9NYY1,Q9NYY1
3273,Q5VVH5,"29,106",Q5VVH5,Q5VVH5,Q5VVH5,Q5VVH5
3274,Q9HBE4,"18,653",Q9HBE4,Q9HBE4,Q9HBE4,Q9HBE4
3275,Q8TAD2,"21,893",Q8TAD2,Q8TAD2,Q8TAD2,Q8TAD2
3276,Q6NXR0,"50,288",Q6NXR0,Q6NXR0,Q6NXR0,Q6NXR0
3277,P40189,"103,537",P40189,P40189,P40189,P40189
3278,O95760,"30,759",O95760,O95760,O95760,O95760
3279,Q2TB90,"102,545",Q2TB90,Q2TB90,Q2TB90,Q2TB90
3280,Q8TAF8,"24,201",Q8TAF8,Q8TAF8,Q8TAF8,Q8TAF8
3281,P30511,"39,062",P30511,P30511,P30511,P30511
3282,Q14527,"113,929",Q14527,Q14527,Q14527,Q14527
3283,Q01581,"57,294",Q01581,Q01581,Q01581,Q01581
3284,P17096,"11,676",P17096,P17096,P17096,P17096
3285,Q8TB92,"39,514",Q8TB92,Q8TB92,Q8TB92,Q8TB92
3286,Q14541,"45,877",Q14541,Q14541,Q14541,Q14541
3287,Q8WVV9,"60,083",Q8WVV9,Q8WVV9,Q8WVV9,Q8WVV9
3288,Q6MZM0,"131,603",Q6MZM0,Q6MZM0,Q6MZM0,Q6MZM0
3289,P84074,"22,427",P84074,P84074,P84074,P84074
3290,Q9BYM8,"57,572",Q9BYM8,Q9BYM8,Q9BYM8,Q9BYM8
3291,Q96QI5,"37,186",Q96QI5,Q96QI5,Q96QI5,Q96QI5
3292,Q03933,"60,348",Q03933,Q03933,Q03933,Q03933
3293,Q14568,"39,365",Q14568,Q14568,Q14568,Q14568
3294,Q92619,"124,614",Q92619,Q92619,Q92619,Q92619
3295,Q9UM19,"22,202",Q9UM19,Q9UM19,Q9UM19,Q9UM19
3296,A8MVJ9,"39,722",A8MVJ9,A8MVJ9,A8MVJ9,A8MVJ9
3297,Q9Y278,"41,501",Q9Y278,Q9Y278,Q9Y278,Q9Y278
3298,P25021,"40,098",P25021,P25021,P25021,P25021
3299,C9JCN9,"8,384",C9JCN9,C9JCN9,C9JCN9,C9JCN9
3300,Q8IWL3,"27,422",Q8IWL3,Q8IWL3,Q8IWL3,Q8IWL3
3301,Q9UBY9,"18,611",Q9UBY9,Q9UBY9,Q9UBY9,Q9UBY9
3302,Q9BUP3,"27,049",Q9BUP3,Q9BUP3,Q9BUP3,Q9BUP3
3303,Q92743,"51,287",Q92743,Q92743,Q92743,Q92743
3304,Q8TDB4,"25,390",Q8TDB4,Q8TDB4,Q8TDB4,Q8TDB4
3305,P42357,"72,698",P42357,P42357,P42357,P42357
3306,Q05925,"40,115",Q05925,Q05925,Q05925,Q05925
3307,P05114,"10,659",P05114,P05114,P05114,P05114
3308,P20823,"67,356",P20823,P20823,P20823,P20823
3309,P41235,"52,785",P41235,P41235,P41235,P41235
3310,P35914,"34,360",P35914,P35914,P35914,P35914
3311,Q86YZ3,"282,390",Q86YZ3,Q86YZ3,Q86YZ3,Q86YZ3
3312,Q9UJC3,"84,648",Q9UJC3,Q9UJC3,Q9UJC3,Q9UJC3
3313,Q86XE5,"35,249",Q86XE5,Q86XE5,Q86XE5,Q86XE5
3314,Q92902,"79,292",Q92902,Q92902,Q92902,Q92902
3315,Q5T7N2,"98,850",Q5T7N2,Q5T7N2,Q5T7N2,Q5T7N2
3316,Q4G112,"65,278",Q4G112,Q4G112,Q4G112,Q4G112
3317,A0A0C4DH42,"12,698",A0A0C4DH42,A0A0C4DH42,A0A0C4DH42,A0A0C4DH42
3318,Q30KR1,"9,886",Q30KR1,Q30KR1,Q30KR1,Q30KR1
3319,Q30KQ6,"8,318",Q30KQ6,Q30KQ6,Q30KQ6,Q30KQ6
3320,Q6ZNG2,"36,555",Q6ZNG2,Q6ZNG2,Q6ZNG2,Q6ZNG2
3321,Q5VU92,"51,201",Q5VU92,Q5VU92,Q5VU92,Q5VU92
3322,Q5VW00,"50,803",Q5VW00,Q5VW00,Q5VW00,Q5VW00
3323,Q5QP82,"60,582",Q5QP82,Q5QP82,Q5QP82,Q5QP82
3324,Q8NA75,"43,747",Q8NA75,Q8NA75,Q8NA75,Q8NA75
3325,Q9BTE7,"27,508",Q9BTE7,Q9BTE7,Q9BTE7,Q9BTE7
3326,Q8N8A6,"72,457",Q8N8A6,Q8N8A6,Q8N8A6,Q8N8A6
3327,P60022,"7,420",P60022,P60022,P60022,P60022
3328,Q9H4E7,"73,910",Q9H4E7,Q9H4E7,Q9H4E7,Q9H4E7
3329,Q9ULE3,"113,853",Q9ULE3,Q9ULE3,Q9ULE3,Q9ULE3
3330,A2RUS2,"135,890",A2RUS2,A2RUS2,A2RUS2,A2RUS2
3331,O15121,"37,866",O15121,O15121,O15121,O15121
3332,Q9H0S4,"50,647",Q9H0S4,Q9H0S4,Q9H0S4,Q9H0S4
3333,Q5H9U9,"197,674",Q5H9U9,Q5H9U9,Q5H9U9,Q5H9U9
3334,Q9BQ39,"82,565",Q9BQ39,Q9BQ39,Q9BQ39,Q9BQ39
3335,P00367,"61,398",P00367,P00367,P00367,P00367
3336,O75911,"33,548",O75911,O75911,O75911,O75911
3337,Q9UBU7,"76,858",Q9UBU7,Q9UBU7,Q9UBU7,Q9UBU7
3338,Q9H1M4,"11,343",Q9H1M4,Q9H1M4,Q9H1M4,Q9H1M4
3339,Q30KQ8,"12,991",Q30KQ8,Q30KQ8,Q30KQ8,Q30KQ8
3340,P17844,"69,148",P17844,P17844,P17844,P17844
3341,Q8NEL9,"100,435",Q8NEL9,Q8NEL9,Q8NEL9,Q8NEL9
3342,Q9NX09,"25,371",Q9NX09,Q9NX09,Q9NX09,Q9NX09
3343,Q9P2X7,"7,542",Q9P2X7,Q9P2X7,Q9P2X7,Q9P2X7
3344,O75618,"36,794",O75618,O75618,O75618,O75618
3345,O95786,"106,600",O95786,O95786,O95786,O95786
3346,Q6IQ26,"147,096",Q6IQ26,Q6IQ26,Q6IQ26,Q6IQ26
3347,Q14154,"55,920",Q14154,Q14154,Q14154,Q14154
3348,O75140,"181,264",O75140,O75140,O75140,O75140
3349,Q96Q80,"26,679",Q96Q80,Q96Q80,Q96Q80,Q96Q80
3350,Q9BUN8,"28,801",Q9BUN8,Q9BUN8,Q9BUN8,Q9BUN8
3351,P60981,"18,506",P60981,P60981,P60981,P60981
3352,Q05D60,"70,977",Q05D60,Q05D60,Q05D60,Q05D60
3353,Q6ICB0,"18,263",Q6ICB0,Q6ICB0,Q6ICB0,Q6ICB0
3354,Q9UBM7,"54,489",Q9UBM7,Q9UBM7,Q9UBM7,Q9UBM7
3355,P98082,"82,448",P98082,P98082,P98082,P98082
3356,O94952,"72,270",O94952,O94952,O94952,O94952
3357,Q86SG3,"64,785",Q86SG3,Q86SG3,Q86SG3,Q86SG3
3358,Q15038,"17,319",Q15038,Q15038,Q15038,Q15038
3359,P53355,"160,046",P53355,P53355,P53355,P53355
3360,Q8WVC6,"26,550",Q8WVC6,Q8WVC6,Q8WVC6,Q8WVC6
3361,Q96PD2,"85,035",Q96PD2,Q96PD2,Q96PD2,Q96PD2
3362,Q5H9S7,"58,778",Q5H9S7,Q5H9S7,Q5H9S7,Q5H9S7
3363,Q13561,"44,231",Q13561,Q13561,Q13561,Q13561
3364,Q9NPI6,"63,278",Q9NPI6,Q9NPI6,Q9NPI6,Q9NPI6
3365,Q9Y315,"35,231",Q9Y315,Q9Y315,Q9Y315,Q9Y315
3366,O60610,"141,347",O60610,O60610,O60610,O60610
3367,Q9BTC0,"243,873",Q9BTC0,Q9BTC0,Q9BTC0,Q9BTC0
3368,Q96LJ7,"33,909",Q96LJ7,Q96LJ7,Q96LJ7,Q96LJ7
3369,Q13268,"29,927",Q13268,Q13268,Q13268,Q13268
3370,P37058,"34,516",P37058,P37058,P37058,P37058
3371,Q8TBM8,"42,516",Q8TBM8,Q8TBM8,Q8TBM8,Q8TBM8
3372,Q155Q3,"77,478",Q155Q3,Q155Q3,Q155Q3,Q155Q3
3373,Q6Y2X3,"78,569",Q6Y2X3,Q6Y2X3,Q6Y2X3,Q6Y2X3
3374,Q9Y5T4,"16,383",Q9Y5T4,Q9Y5T4,Q9Y5T4,Q9Y5T4
3375,Q9NR61,"74,605",Q9NR61,Q9NR61,Q9NR61,Q9NR61
3376,Q9Y2H0,"108,012",Q9Y2H0,Q9Y2H0,Q9Y2H0,Q9Y2H0
3377,P78352,"80,495",P78352,P78352,P78352,P78352
3378,Q4LDG9,"21,533",Q4LDG9,Q4LDG9,Q4LDG9,Q4LDG9
3379,Q6PJP8,"116,400",Q6PJP8,Q6PJP8,Q6PJP8,Q6PJP8
3380,P20711,"53,926",P20711,P20711,P20711,P20711
3381,Q8IXT1,"111,616",Q8IXT1,Q8IXT1,Q8IXT1,Q8IXT1
3382,Q96GQ7,"89,835",Q96GQ7,Q96GQ7,Q96GQ7,Q96GQ7
3383,Q9Y2R4,"67,498",Q9Y2R4,Q9Y2R4,Q9Y2R4,Q9Y2R4
3384,O75398,"59,327",O75398,O75398,O75398,O75398
3385,Q86TM3,"71,154",Q86TM3,Q86TM3,Q86TM3,Q86TM3
3386,O43583,"22,092",O43583,O43583,O43583,O43583
3387,Q16698,"36,068",Q16698,Q16698,Q16698,Q16698
3388,Q8NEG7,"66,464",Q8NEG7,Q8NEG7,Q8NEG7,Q8NEG7
3389,Q9NQI0,"79,308",Q9NQI0,Q9NQI0,Q9NQI0,Q9NQI0
3390,Q9GZP9,"27,567",Q9GZP9,Q9GZP9,Q9GZP9,Q9GZP9
3391,Q9UK59,"61,555",Q9UK59,Q9UK59,Q9UK59,Q9UK59
3392,Q9BTE1,"20,127",Q9BTE1,Q9BTE1,Q9BTE1,Q9BTE1
3393,Q96SD1,"78,436",Q96SD1,Q96SD1,Q96SD1,Q96SD1
3394,P35638,"19,175",P35638,P35638,P35638,P35638
